seq,symbol,side,type,price,qty,peak_qty,order_id,action,ref_id
43,AAPL,BUY,LIMIT,255.54,40,,43,NEW,
44,AAPL,SELL,LIMIT,255.74,59,,44,NEW,
45,TSLA,BUY,LIMIT,416.68,286,,45,NEW,
46,NVDA,SELL,LIMIT,183.03,15,,46,NEW,
47,SPY,SELL,LIMIT,681.84,48,,47,NEW,
48,AAPL,SELL,LIMIT,255.66,74,,48,NEW,
49,MSFT,SELL,LIMIT,401.5,42,,49,NEW,
50,SPY,SELL,LIMIT,681.79,259,,50,NEW,
51,TSLA,BUY,LIMIT,416.35,63,,51,NEW,
52,GOOGL,BUY,LIMIT,305.81,30,,52,NEW,
53,AMZN,SELL,LIMIT,198.97,100,,53,NEW,
54,MSFT,SELL,LIMIT,401.49,97,,54,NEW,
55,MSFT,BUY,LIMIT,401.24,28,,55,NEW,
56,AAPL,SELL,LIMIT,255.66,47,,56,NEW,
57,AAPL,SELL,LIMIT,255.69,76,,57,NEW,
58,MSFT,BUY,LIMIT,401.38,40,,58,NEW,
59,AAPL,SELL,LIMIT,255.63,77,,59,NEW,
60,NVDA,BUY,LIMIT,182.89,78,,60,NEW,
61,AAPL,BUY,LIMIT,255.47,767,,61,NEW,
62,TSLA,BUY,LIMIT,416.27,29,,62,NEW,
63,AAPL,SELL,LIMIT,255.63,30,,63,NEW,
64,AAPL,SELL,LIMIT,255.59,76,,64,NEW,
65,MSFT,SELL,LIMIT,401.58,27,,65,NEW,
66,AMZN,SELL,LIMIT,199,14,,66,NEW,
67,TSLA,SELL,LIMIT,416.04,18,,67,NEW,
68,AAPL,SELL,LIMIT,255.51,68,,68,NEW,
69,MSFT,SELL,LIMIT,401.45,675,,69,NEW,
70,SPY,SELL,LIMIT,681.75,54,,70,NEW,
71,NVDA,BUY,LIMIT,182.83,35,,71,NEW,
72,AAPL,SELL,LIMIT,255.55,14,,72,NEW,
73,GOOGL,BUY,LIMIT,305.87,13,,73,NEW,
74,AMZN,SELL,LIMIT,198.98,64,,74,NEW,
75,AAPL,SELL,LIMIT,255.51,52,,75,NEW,
76,NVDA,SELL,LIMIT,182.92,4,,76,NEW,
77,AAPL,BUY,LIMIT,255.33,18,,77,NEW,
78,GOOGL,BUY,LIMIT,305.82,98,,78,NEW,
79,MSFT,BUY,LIMIT,401.41,15,,79,NEW,
80,META,SELL,LIMIT,640.06,40,,80,NEW,
81,AAPL,BUY,LIMIT,255.29,37,,81,NEW,
82,AAPL,BUY,LIMIT,255.38,374,,82,NEW,
83,AMZN,SELL,LIMIT,199.06,46,,83,NEW,
84,NVDA,SELL,LIMIT,182.97,77,,84,NEW,
85,AAPL,SELL,LIMIT,255.48,47,,85,NEW,
86,SPY,SELL,LIMIT,681.82,98,,86,NEW,
87,MSFT,SELL,LIMIT,401.54,39,,87,NEW,
88,NVDA,SELL,LIMIT,183.08,422,,88,NEW,
89,MSFT,BUY,LIMIT,401.38,51,,89,NEW,
90,TSLA,BUY,LIMIT,416.16,80,,90,NEW,
91,GOOGL,BUY,LIMIT,305.76,30,,91,NEW,
92,MSFT,SELL,LIMIT,401.46,52,,92,NEW,
93,AMZN,BUY,LIMIT,199.02,49,,93,NEW,
94,MSFT,SELL,LIMIT,401.42,56,,94,NEW,
95,TSLA,BUY,LIMIT,415.98,42,,95,NEW,
96,AAPL,SELL,LIMIT,255.54,1,,96,NEW,
97,GOOGL,SELL,LIMIT,305.85,19,,97,NEW,
98,SPY,SELL,LIMIT,682.06,82,,98,NEW,
99,GOOGL,SELL,LIMIT,305.81,38,,99,NEW,
100,MSFT,SELL,LIMIT,401.26,94,,100,NEW,
101,AAPL,BUY,LIMIT,255.54,88,,101,NEW,
102,SPY,BUY,LIMIT,681.82,509,,102,NEW,
103,MSFT,SELL,LIMIT,401.22,23,,103,NEW,
104,TSLA,SELL,LIMIT,416.04,54,,104,NEW,
105,AMZN,BUY,LIMIT,199.04,45,,105,NEW,
106,MSFT,SELL,LIMIT,401.33,565,,106,NEW,
107,SPY,SELL,LIMIT,682.08,67,,107,NEW,
108,SPY,SELL,LIMIT,682.15,81,,108,NEW,
109,NVDA,BUY,LIMIT,183.08,19,,109,NEW,
110,MSFT,SELL,LIMIT,401.4,47,,110,NEW,
111,NVDA,BUY,LIMIT,182.99,615,,111,NEW,
112,META,BUY,LIMIT,639.75,51,,112,NEW,
113,SPY,BUY,LIMIT,681.99,62,,113,NEW,
114,NVDA,BUY,LIMIT,182.95,46,,114,NEW,
115,GOOGL,BUY,LIMIT,305.66,47,,115,NEW,
116,NVDA,BUY,LIMIT,182.93,61,,116,NEW,
117,META,BUY,LIMIT,640,48,,117,NEW,
118,SPY,SELL,LIMIT,682.09,65,,118,NEW,
119,AAPL,BUY,LIMIT,255.51,8,,119,NEW,
120,AAPL,SELL,LIMIT,255.6,28,,120,NEW,
121,NVDA,BUY,LIMIT,182.97,61,,121,NEW,
122,NVDA,SELL,LIMIT,183,11,,122,NEW,
123,TSLA,SELL,LIMIT,416.27,5,,123,NEW,
124,AAPL,SELL,LIMIT,255.64,69,,124,NEW,
125,NVDA,SELL,LIMIT,183.05,74,,125,NEW,
126,SPY,SELL,LIMIT,681.93,48,,126,NEW,
127,AMZN,SELL,LIMIT,199.13,63,,127,NEW,
128,NVDA,SELL,LIMIT,183.07,86,,128,NEW,
129,TSLA,BUY,LIMIT,415.99,2,,129,NEW,
130,NVDA,SELL,LIMIT,183.14,52,,130,NEW,
131,TSLA,BUY,LIMIT,415.92,10,,131,NEW,
132,TSLA,SELL,LIMIT,415.87,16,,132,NEW,
133,AAPL,SELL,LIMIT,255.68,67,,133,NEW,
134,SPY,BUY,LIMIT,681.76,5,,134,NEW,
135,AMZN,SELL,LIMIT,199.09,5,,135,NEW,
136,AMZN,BUY,LIMIT,199.04,90,,136,NEW,
137,NVDA,BUY,LIMIT,183.06,56,,137,NEW,
138,NVDA,BUY,LIMIT,183.1,81,,138,NEW,
139,AAPL,BUY,LIMIT,255.6,975,,139,NEW,
140,AMZN,BUY,LIMIT,199.05,79,,140,NEW,
141,NVDA,BUY,LIMIT,183.05,50,,141,NEW,
142,GOOGL,BUY,LIMIT,305.73,10,,142,NEW,
143,NVDA,BUY,LIMIT,183.02,10,,143,NEW,
144,TSLA,BUY,LIMIT,415.52,74,,144,NEW,
145,TSLA,BUY,LIMIT,415.77,26,,145,NEW,
146,AMZN,SELL,LIMIT,199.15,21,,146,NEW,
147,GOOGL,SELL,LIMIT,305.88,58,,147,NEW,
148,NVDA,BUY,LIMIT,183,97,,148,NEW,
149,GOOGL,SELL,LIMIT,305.79,88,,149,NEW,
150,NVDA,BUY,LIMIT,183.16,76,,150,NEW,
151,NVDA,BUY,LIMIT,183.16,41,,151,NEW,
152,META,BUY,LIMIT,640.1,403,,152,NEW,
153,TSLA,SELL,LIMIT,415.83,5,,153,NEW,
154,AAPL,BUY,LIMIT,255.52,6,,154,NEW,
155,SPY,BUY,LIMIT,681.65,792,,155,NEW,
156,AAPL,SELL,LIMIT,255.61,60,,156,NEW,
157,TSLA,BUY,LIMIT,415.75,83,,157,NEW,
158,MSFT,BUY,LIMIT,401.32,18,,158,NEW,
159,NVDA,SELL,LIMIT,183.11,28,,159,NEW,
160,AAPL,BUY,LIMIT,255.46,307,,160,NEW,
161,META,BUY,LIMIT,639.94,11,,161,NEW,
162,NVDA,BUY,LIMIT,183.03,61,,162,NEW,
163,AAPL,SELL,LIMIT,255.51,11,,163,NEW,
164,AMZN,BUY,LIMIT,199.13,53,,164,NEW,
165,MSFT,BUY,LIMIT,401.27,17,,165,NEW,
166,SPY,SELL,LIMIT,682.01,69,,166,NEW,
167,MSFT,SELL,LIMIT,401.41,70,,167,NEW,
168,AMZN,BUY,LIMIT,199.15,853,,168,NEW,
169,AAPL,SELL,LIMIT,255.57,7,,169,NEW,
170,GOOGL,SELL,LIMIT,305.75,11,,170,NEW,
171,TSLA,BUY,LIMIT,415.68,32,,171,NEW,
172,NVDA,SELL,LIMIT,183.06,28,,172,NEW,
173,META,BUY,LIMIT,639.81,320,,173,NEW,
174,TSLA,SELL,LIMIT,415.77,52,,174,NEW,
175,AAPL,BUY,LIMIT,255.4,51,,175,NEW,
176,AMZN,SELL,LIMIT,199.21,12,,176,NEW,
177,NVDA,SELL,LIMIT,183.08,47,,177,NEW,
178,AAPL,SELL,LIMIT,255.44,1,,178,NEW,
179,SPY,SELL,LIMIT,682.2,31,,179,NEW,
180,AAPL,BUY,LIMIT,255.32,98,,180,NEW,
181,NVDA,SELL,LIMIT,183.02,42,,181,NEW,
182,SPY,BUY,LIMIT,681.92,76,,182,NEW,
183,NVDA,SELL,LIMIT,183.04,83,,183,NEW,
184,META,SELL,LIMIT,639.93,74,,184,NEW,
185,TSLA,BUY,LIMIT,415.49,15,,185,NEW,
186,TSLA,SELL,LIMIT,415.45,28,,186,NEW,
187,TSLA,BUY,LIMIT,415.37,404,,187,NEW,
188,AAPL,BUY,LIMIT,255.27,39,,188,NEW,
189,MSFT,BUY,LIMIT,401.28,956,,189,NEW,
190,AMZN,SELL,LIMIT,199.27,60,,190,NEW,
191,META,BUY,LIMIT,639.86,9,,191,NEW,
192,META,SELL,LIMIT,640.15,39,,192,NEW,
193,AMZN,BUY,LIMIT,199.26,56,,193,NEW,
194,MSFT,BUY,LIMIT,401.15,29,,194,NEW,
195,SPY,SELL,LIMIT,682.13,77,,195,NEW,
196,META,SELL,LIMIT,640.17,91,,196,NEW,
197,TSLA,BUY,LIMIT,415.52,100,,197,NEW,
198,AAPL,BUY,LIMIT,255.4,83,,198,NEW,
199,META,SELL,LIMIT,639.97,576,,199,NEW,
200,AAPL,BUY,LIMIT,255.33,75,,200,NEW,
201,AAPL,BUY,LIMIT,255.35,18,,201,NEW,
202,META,SELL,LIMIT,640.3,8,,202,NEW,
203,AMZN,SELL,LIMIT,199.38,86,,203,NEW,
204,NVDA,SELL,LIMIT,183.05,8,,204,NEW,
205,NVDA,BUY,LIMIT,183.09,95,,205,NEW,
206,AMZN,BUY,LIMIT,199.26,33,,206,NEW,
207,META,SELL,LIMIT,640.25,49,,207,NEW,
208,MSFT,BUY,LIMIT,401.17,4,,208,NEW,
209,AAPL,SELL,LIMIT,255.4,581,,209,NEW,
210,AMZN,BUY,LIMIT,199.29,31,,210,NEW,
211,NVDA,BUY,LIMIT,183.06,69,,211,NEW,
212,AAPL,BUY,LIMIT,255.25,68,,212,NEW,
213,AAPL,SELL,LIMIT,255.39,36,,213,NEW,
214,AAPL,BUY,LIMIT,255.39,539,,214,NEW,
215,NVDA,SELL,LIMIT,183.17,53,,215,NEW,
216,GOOGL,SELL,LIMIT,305.83,54,,216,NEW,
217,AMZN,SELL,LIMIT,199.38,8,,217,NEW,
218,SPY,BUY,LIMIT,681.7,66,,218,NEW,
219,MSFT,SELL,LIMIT,401.27,22,,219,NEW,
220,AAPL,BUY,LIMIT,255.37,722,,220,NEW,
221,MSFT,SELL,LIMIT,401.25,32,,221,NEW,
222,AAPL,SELL,LIMIT,255.45,66,,222,NEW,
223,MSFT,BUY,LIMIT,401.13,68,,223,NEW,
224,META,SELL,LIMIT,640.2,80,,224,NEW,
225,AMZN,SELL,LIMIT,199.38,98,,225,NEW,
226,GOOGL,BUY,LIMIT,305.71,34,,226,NEW,
227,META,BUY,LIMIT,640.04,32,,227,NEW,
228,MSFT,SELL,LIMIT,401.4,31,,228,NEW,
229,AMZN,SELL,LIMIT,199.41,44,,229,NEW,
230,GOOGL,SELL,LIMIT,305.71,44,,230,NEW,
231,AMZN,SELL,LIMIT,199.41,66,,231,NEW,
232,MSFT,SELL,LIMIT,401.29,62,,232,NEW,
233,AMZN,BUY,LIMIT,199.32,13,,233,NEW,
234,MSFT,BUY,LIMIT,401.08,68,,234,NEW,
235,AAPL,BUY,LIMIT,255.34,32,,235,NEW,
236,META,BUY,LIMIT,640.02,91,,236,NEW,
237,TSLA,SELL,LIMIT,415.77,29,,237,NEW,
238,AAPL,BUY,LIMIT,255.36,74,,238,NEW,
239,AAPL,BUY,LIMIT,255.39,37,,239,NEW,
240,AAPL,SELL,LIMIT,255.52,17,,240,NEW,
241,AMZN,BUY,LIMIT,199.3,97,,241,NEW,
242,MSFT,SELL,LIMIT,401.33,202,,242,NEW,
243,AMZN,BUY,LIMIT,199.37,69,,243,NEW,
244,MSFT,SELL,LIMIT,401.28,7,,244,NEW,
245,SPY,BUY,LIMIT,681.68,20,,245,NEW,
246,GOOGL,BUY,LIMIT,305.6,38,,246,NEW,
247,SPY,SELL,LIMIT,682,30,,247,NEW,
248,GOOGL,BUY,LIMIT,305.51,758,,248,NEW,
249,META,BUY,LIMIT,640.22,21,,249,NEW,
250,AMZN,SELL,LIMIT,199.47,37,,250,NEW,
251,MSFT,SELL,LIMIT,401.26,72,,251,NEW,
252,NVDA,SELL,LIMIT,183.09,76,,252,NEW,
253,META,SELL,LIMIT,640.62,52,,253,NEW,
254,AMZN,SELL,LIMIT,199.58,8,,254,NEW,
255,AAPL,BUY,LIMIT,255.41,100,,255,NEW,
256,AAPL,SELL,LIMIT,255.49,70,,256,NEW,
257,NVDA,SELL,LIMIT,183.13,20,,257,NEW,
258,META,BUY,LIMIT,640.54,65,,258,NEW,
259,MSFT,BUY,LIMIT,401.14,73,,259,NEW,
260,META,SELL,LIMIT,641.28,20,,260,NEW,
261,AMZN,SELL,LIMIT,199.63,52,,261,NEW,
262,SPY,BUY,LIMIT,681.97,940,,262,NEW,
263,SPY,SELL,LIMIT,682.27,366,,263,NEW,
264,AAPL,SELL,LIMIT,255.53,79,,264,NEW,
265,NVDA,SELL,LIMIT,183.04,955,,265,NEW,
266,MSFT,BUY,LIMIT,401.06,45,,266,NEW,
267,AAPL,SELL,LIMIT,255.51,100,,267,NEW,
268,NVDA,SELL,LIMIT,182.94,65,,268,NEW,
269,META,BUY,LIMIT,641.02,64,,269,NEW,
270,MSFT,SELL,LIMIT,401.22,88,,270,NEW,
271,NVDA,SELL,LIMIT,183.03,88,,271,NEW,
272,MSFT,SELL,LIMIT,401.18,24,,272,NEW,
273,MSFT,BUY,LIMIT,400.97,57,,273,NEW,
274,AAPL,BUY,LIMIT,255.4,76,,274,NEW,
275,AAPL,SELL,LIMIT,255.52,10,,275,NEW,
276,TSLA,BUY,LIMIT,415.54,324,,276,NEW,
277,MSFT,BUY,LIMIT,401.12,69,,277,NEW,
278,SPY,SELL,LIMIT,682.34,89,,278,NEW,
279,TSLA,SELL,LIMIT,415.57,4,,279,NEW,
280,SPY,BUY,LIMIT,682.17,78,,280,NEW,
281,AMZN,BUY,LIMIT,199.57,790,,281,NEW,
282,AAPL,SELL,LIMIT,255.53,665,,282,NEW,
283,META,SELL,LIMIT,641.07,7,,283,NEW,
284,MSFT,SELL,LIMIT,401.18,33,,284,NEW,
285,NVDA,BUY,LIMIT,183.02,530,,285,NEW,
286,NVDA,BUY,LIMIT,182.96,48,,286,NEW,
287,SPY,BUY,LIMIT,682.06,17,,287,NEW,
288,TSLA,SELL,LIMIT,415.32,89,,288,NEW,
289,NVDA,BUY,LIMIT,182.96,84,,289,NEW,
290,AAPL,BUY,LIMIT,255.44,94,,290,NEW,
291,META,BUY,LIMIT,640.94,53,,291,NEW,
292,SPY,BUY,LIMIT,682.25,38,,292,NEW,
293,TSLA,SELL,LIMIT,415.43,60,,293,NEW,
294,TSLA,BUY,LIMIT,415.44,13,,294,NEW,
295,TSLA,SELL,LIMIT,415.68,8,,295,NEW,
296,MSFT,BUY,LIMIT,401.11,30,,296,NEW,
297,TSLA,SELL,LIMIT,415.74,85,,297,NEW,
298,SPY,BUY,LIMIT,682.18,96,,298,NEW,
299,META,SELL,LIMIT,641.02,96,,299,NEW,
300,TSLA,BUY,LIMIT,415.82,47,,300,NEW,
301,GOOGL,BUY,LIMIT,305.48,97,,301,NEW,
302,META,BUY,LIMIT,640.81,16,,302,NEW,
303,AMZN,BUY,LIMIT,199.58,17,,303,NEW,
304,NVDA,SELL,LIMIT,182.94,87,,304,NEW,
305,NVDA,SELL,LIMIT,182.97,55,,305,NEW,
306,AAPL,SELL,LIMIT,255.62,67,,306,NEW,
307,TSLA,SELL,LIMIT,415.96,47,,307,NEW,
308,AAPL,SELL,LIMIT,255.66,93,,308,NEW,
309,GOOGL,BUY,LIMIT,305.44,34,,309,NEW,
310,META,BUY,LIMIT,641.1,12,,310,NEW,
311,AAPL,SELL,LIMIT,255.59,9,,311,NEW,
312,NVDA,BUY,LIMIT,182.88,74,,312,NEW,
313,MSFT,SELL,LIMIT,401.27,2,,313,NEW,
314,GOOGL,BUY,LIMIT,305.51,54,,314,NEW,
315,META,BUY,LIMIT,641.25,30,,315,NEW,
316,AAPL,SELL,LIMIT,255.57,10,,316,NEW,
317,GOOGL,BUY,LIMIT,305.48,65,,317,NEW,
318,SPY,BUY,LIMIT,682.34,88,,318,NEW,
319,AMZN,BUY,LIMIT,199.55,14,,319,NEW,
320,AMZN,SELL,LIMIT,199.69,74,,320,NEW,
321,AMZN,SELL,LIMIT,199.69,52,,321,NEW,
322,NVDA,BUY,LIMIT,182.82,56,,322,NEW,
323,MSFT,BUY,LIMIT,401.07,73,,323,NEW,
324,AMZN,SELL,LIMIT,199.68,32,,324,NEW,
325,SPY,SELL,LIMIT,682.65,62,,325,NEW,
326,META,BUY,LIMIT,641.28,95,,326,NEW,
327,GOOGL,BUY,LIMIT,305.53,32,,327,NEW,
328,AAPL,BUY,LIMIT,255.44,15,,328,NEW,
329,META,BUY,LIMIT,641.54,59,,329,NEW,
330,MSFT,SELL,LIMIT,401,16,,330,NEW,
331,MSFT,BUY,LIMIT,400.99,39,,331,NEW,
332,MSFT,SELL,LIMIT,401.14,7,,332,NEW,
333,NVDA,BUY,LIMIT,182.82,78,,333,NEW,
334,TSLA,BUY,LIMIT,415.86,91,,334,NEW,
335,META,SELL,LIMIT,641.35,65,,335,NEW,
336,NVDA,SELL,LIMIT,182.8,15,,336,NEW,
337,GOOGL,SELL,LIMIT,305.73,60,,337,NEW,
338,TSLA,SELL,LIMIT,415.76,97,,338,NEW,
339,AAPL,BUY,LIMIT,255.43,12,,339,NEW,
340,AMZN,BUY,LIMIT,199.66,23,,340,NEW,
341,SPY,SELL,LIMIT,682.69,1,,341,NEW,
342,NVDA,SELL,LIMIT,182.88,408,,342,NEW,
343,MSFT,SELL,LIMIT,400.99,8,,343,NEW,
344,AAPL,SELL,LIMIT,255.41,48,,344,NEW,
345,TSLA,BUY,LIMIT,415.63,70,,345,NEW,
346,MSFT,BUY,LIMIT,400.71,88,,346,NEW,
347,META,SELL,LIMIT,641.01,53,,347,NEW,
348,MSFT,SELL,LIMIT,400.88,33,,348,NEW,
349,AAPL,SELL,LIMIT,255.29,14,,349,NEW,
350,TSLA,SELL,LIMIT,415.53,762,,350,NEW,
351,AMZN,BUY,LIMIT,199.71,72,,351,NEW,
352,META,SELL,LIMIT,640.91,44,,352,NEW,
353,AMZN,SELL,LIMIT,199.69,89,,353,NEW,
354,AAPL,SELL,LIMIT,255.34,94,,354,NEW,
355,TSLA,SELL,LIMIT,415.62,56,,355,NEW,
356,GOOGL,BUY,LIMIT,305.66,68,,356,NEW,
357,AMZN,BUY,LIMIT,199.61,45,,357,NEW,
358,META,SELL,LIMIT,640.75,84,,358,NEW,
359,NVDA,BUY,LIMIT,182.87,61,,359,NEW,
360,GOOGL,SELL,LIMIT,305.9,33,,360,NEW,
361,GOOGL,SELL,LIMIT,305.79,24,,361,NEW,
362,SPY,SELL,LIMIT,682.59,28,,362,NEW,
363,TSLA,SELL,LIMIT,415.62,49,,363,NEW,
364,META,BUY,LIMIT,641,89,,364,NEW,
365,GOOGL,SELL,LIMIT,305.79,69,,365,NEW,
366,MSFT,BUY,LIMIT,400.86,8,,366,NEW,
367,GOOGL,BUY,LIMIT,305.59,7,,367,NEW,
368,META,SELL,LIMIT,641.11,6,,368,NEW,
369,TSLA,SELL,LIMIT,415.29,36,,369,NEW,
370,NVDA,BUY,LIMIT,182.85,42,,370,NEW,
371,SPY,BUY,LIMIT,682.49,45,,371,NEW,
372,AAPL,SELL,LIMIT,255.33,44,,372,NEW,
373,AMZN,BUY,LIMIT,199.6,91,,373,NEW,
374,AAPL,SELL,LIMIT,255.27,61,,374,NEW,
375,TSLA,BUY,LIMIT,415.42,16,,375,NEW,
376,NVDA,BUY,LIMIT,182.82,42,,376,NEW,
377,META,BUY,LIMIT,641.03,36,,377,NEW,
378,SPY,BUY,LIMIT,682.36,250,,378,NEW,
379,SPY,SELL,LIMIT,682.6,781,,379,NEW,
380,AAPL,BUY,LIMIT,255.23,90,,380,NEW,
381,AAPL,BUY,LIMIT,255.35,53,,381,NEW,
382,AMZN,BUY,LIMIT,199.59,94,,382,NEW,
383,TSLA,SELL,LIMIT,415.7,22,,383,NEW,
384,AAPL,BUY,LIMIT,255.28,744,,384,NEW,
385,META,BUY,LIMIT,640.88,37,,385,NEW,
386,TSLA,SELL,LIMIT,415.42,48,,386,NEW,
387,AAPL,SELL,LIMIT,255.32,460,,387,NEW,
388,TSLA,BUY,LIMIT,415.15,844,,388,NEW,
389,GOOGL,SELL,LIMIT,305.62,37,,389,NEW,
390,META,SELL,LIMIT,640.91,16,,390,NEW,
391,AAPL,BUY,LIMIT,255.29,66,,391,NEW,
392,NVDA,BUY,LIMIT,182.87,16,,392,NEW,
393,MSFT,SELL,LIMIT,401.04,26,,393,NEW,
394,SPY,SELL,LIMIT,682.45,19,,394,NEW,
395,NVDA,SELL,LIMIT,182.88,44,,395,NEW,
396,MSFT,BUY,LIMIT,400.86,28,,396,NEW,
397,NVDA,SELL,LIMIT,182.88,72,,397,NEW,
398,TSLA,SELL,LIMIT,415.19,41,,398,NEW,
399,NVDA,BUY,LIMIT,182.84,22,,399,NEW,
400,MSFT,BUY,LIMIT,400.89,74,,400,NEW,
401,SPY,SELL,LIMIT,682.5,395,,401,NEW,
402,AMZN,SELL,LIMIT,199.65,49,,402,NEW,
403,AAPL,SELL,LIMIT,255.3,63,,403,NEW,
404,AAPL,BUY,LIMIT,255.24,49,,404,NEW,
405,TSLA,BUY,LIMIT,415.33,18,,405,NEW,
406,NVDA,SELL,LIMIT,182.81,52,,406,NEW,
407,MSFT,SELL,LIMIT,401.01,53,,407,NEW,
408,MSFT,SELL,LIMIT,400.99,29,,408,NEW,
409,AMZN,BUY,LIMIT,199.61,57,,409,NEW,
410,MSFT,BUY,LIMIT,400.79,62,,410,NEW,
411,SPY,SELL,LIMIT,682.49,83,,411,NEW,
412,META,SELL,LIMIT,641.03,30,,412,NEW,
413,TSLA,BUY,LIMIT,415.45,70,,413,NEW,
414,META,SELL,LIMIT,640.86,97,,414,NEW,
415,AAPL,SELL,LIMIT,255.37,70,,415,NEW,
416,NVDA,SELL,LIMIT,182.85,50,,416,NEW,
417,AMZN,BUY,LIMIT,199.57,37,,417,NEW,
418,NVDA,BUY,LIMIT,182.76,89,,418,NEW,
419,META,SELL,LIMIT,640.82,24,,419,NEW,
420,MSFT,BUY,LIMIT,400.86,27,,420,NEW,
421,TSLA,SELL,LIMIT,415.58,7,,421,NEW,
422,AAPL,SELL,LIMIT,255.4,918,,422,NEW,
423,MSFT,BUY,LIMIT,400.76,44,,423,NEW,
424,NVDA,BUY,LIMIT,182.71,5,,424,NEW,
425,NVDA,BUY,LIMIT,182.7,85,,425,NEW,
426,AMZN,BUY,LIMIT,199.55,67,,426,NEW,
427,NVDA,SELL,LIMIT,182.66,89,,427,NEW,
428,META,SELL,LIMIT,640.87,37,,428,NEW,
429,NVDA,BUY,LIMIT,182.63,9,,429,NEW,
430,GOOGL,SELL,LIMIT,305.62,100,,430,NEW,
431,AAPL,BUY,LIMIT,255.31,30,,431,NEW,
432,SPY,BUY,LIMIT,682.28,21,,432,NEW,
433,TSLA,SELL,LIMIT,415.9,32,,433,NEW,
434,AAPL,BUY,LIMIT,255.45,580,,434,NEW,
435,TSLA,BUY,LIMIT,415.9,94,,435,NEW,
436,SPY,BUY,LIMIT,682.33,43,,436,NEW,
437,MSFT,SELL,LIMIT,400.98,52,,437,NEW,
438,SPY,SELL,LIMIT,682.53,49,,438,NEW,
439,AMZN,BUY,LIMIT,199.5,16,,439,NEW,
440,SPY,SELL,LIMIT,682.48,18,,440,NEW,
441,NVDA,SELL,LIMIT,182.58,564,,441,NEW,
442,SPY,BUY,LIMIT,682.16,5,,442,NEW,
443,NVDA,SELL,LIMIT,182.69,12,,443,NEW,
444,MSFT,BUY,LIMIT,400.74,89,,444,NEW,
445,NVDA,BUY,LIMIT,182.66,99,,445,NEW,
446,NVDA,SELL,LIMIT,182.85,29,,446,NEW,
447,MSFT,BUY,LIMIT,400.86,31,,447,NEW,
448,GOOGL,SELL,LIMIT,305.48,66,,448,NEW,
449,SPY,SELL,LIMIT,682.38,1,,449,NEW,
450,GOOGL,SELL,LIMIT,305.47,66,,450,NEW,
451,TSLA,BUY,LIMIT,415.99,95,,451,NEW,
452,AMZN,BUY,LIMIT,199.48,47,,452,NEW,
453,GOOGL,BUY,LIMIT,305.32,20,,453,NEW,
454,GOOGL,SELL,LIMIT,305.32,6,,454,NEW,
